Tiêu đề,Mô tả,Hình ảnh,Nội dung,Link bài viết
31 đội tranh tài tại chung kết Sáng kiến Khoa học 2025,"Các đội thi vòng chung kết Sáng kiến Khoa học 2025 thuyết trình về quá trình nghiên cứu, những điểm mới, nổi bật và tiềm năng ứng dụng của dự án tham gia cuộc thi.",https://i1-vnexpress.vnecdn.net/2025/05/05/Cuoc-thi-sang-kien-khoa-hoc-2-1257-1746442811.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=NFa2ptqgCBCNl474oaWOMw,,https://vnexpress.net/31-doi-tranh-tai-tai-chung-ket-sang-kien-khoa-hoc-2025-4881943.html
Nubia Neo 3 - điện thoại chơi game giá 4 triệu đồng,"Neo 3 là smartphone hiếm hoi trong phân khúc có nút bấm trigger chuyên game, thiết kế hầm hố đặc trưng, pin tốt nhưng yếu ở màn hình, camera.",https://i1-vnexpress.vnecdn.net/2025/05/05/DSCF3916-1746418107.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=qb7W1rJ_McV8L4bU6oAFdQ,,https://vnexpress.net/nubia-neo-3-dien-thoai-choi-game-gia-4-trieu-dong-4881842.html
Máy bay Anh lập kỷ lục bay liên tục lâu nhất thế giới,Máy bay không người lái Aalto Zephyr đã trải qua 67 ngày ở tầng bình lưu trước khi hạ cánh ở Ấn Độ Dương.,https://i1-vnexpress.vnecdn.net/2025/05/05/VNEPlane-1746416408-3147-1746416446.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=EyLBb08g3BEM1atG35NFVw,,https://vnexpress.net/may-bay-anh-lap-ky-luc-bay-lien-tuc-lau-nhat-the-gioi-4881574.html
Skype chính thức ngừng hoạt động,"Sau 22 năm có mặt trên thị trường, nền tảng giao tiếp Skype của Microsoft ngừng hoạt động từ 5/5 để chuyển sang Teams.",https://i1-vnexpress.vnecdn.net/2025/05/05/dsc02895-jpg-1746416723-3981-1746417200.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=CLJbZHCyxepO1YPcqwMKtQ,,https://vnexpress.net/skype-chinh-thuc-ngung-hoat-dong-4881663.html
"Ông Trump nói TikTok 'thú vị', sẽ tiếp tục gia hạn",Tổng thống Mỹ Donald Trump cho biết sẽ cho TikTok thêm thời gian hoạt động tại Mỹ nếu mạng xã hội này chưa có người mua trước thời hạn 19/6.,https://i1-vnexpress.vnecdn.net/2025/05/05/afp-20250414-42bn9p4-v1-highre-4639-9053-1746411728.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=5lQLky6RFok6YNFqj60h1A,,https://vnexpress.net/ong-trump-noi-tiktok-thu-vi-se-tiep-tuc-gia-han-4881602.html
Máy bay siêu vượt âm 'Con trai Blackbird',MỹSR-72 sẽ trở thành máy bay nhanh nhất từng được phát triển với tốc độ tối đa dự kiến trên Mach 5 (6.437 km/h).,https://i1-vnexpress.vnecdn.net/2025/05/04/VNEJet-1746353586-5825-1746353684.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=nlZ0FCdORyrCzPOWFSMOow,,https://vnexpress.net/may-bay-sieu-vuot-am-con-trai-blackbird-4881475.html
Loạt smartphone nổi bật bán ra tháng 5,"Smartphone bán trong tháng 5 của Vivo, Poco, Realme, Xiaomi đều thuộc phân khúc tầm trung và giá rẻ, với khả năng kháng nước, AI cơ bản, pin lớn.",https://i1-sohoa.vnecdn.net/2025/05/02/DSCF3578-1745645729-1746179540.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=x42XWP8M7cr8FmXzAam2JQ,,https://vnexpress.net/loat-smartphone-noi-bat-ban-ra-thang-5-4881026.html
Chip não giúp chỉnh sửa video và đăng YouTube bằng suy nghĩ,"Tiến bộ trong công nghệ máy tính - não giúp Bradford Smith, người thứ ba cấy chip Neuralink, có thể dùng suy nghĩ chỉnh sửa video và đăng YouTube.",https://i1-vnexpress.vnecdn.net/2025/05/04/zjvt3he74nspw5eajcml9x-1200-80-4680-9867-1746370667.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=PbaPX_wzl33vmgv0YHfqQw,,https://vnexpress.net/chip-nao-giup-chinh-sua-video-va-dang-youtube-bang-suy-nghi-4881535.html
5 công cụ AI hữu dụng ngoài ChatGPT,"Bên cạnh chatbot đình đám như ChatGPT, Gemini hay Copilot, người dùng có thể tìm đến 5 công cụ AI khác ít phổ biến hơn nhưng được đánh giá hữu dụng.",https://i1-vnexpress.vnecdn.net/2025/05/03/01AIAgents26thJuly2024176-1746-3361-3201-1746206397.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=1477PtHBLfkatj4myZyXQQ,,https://vnexpress.net/5-cong-cu-ai-huu-dung-ngoai-chatgpt-4881113.html
Đấu giá lại tần số 'kim cương' 700 MHz cho 5G,"Khối băng tần 713-723 MHz và 768-778 MHz (B2-B2') sẽ đấu giá lại vào ngày 20/5, kể cả khi chỉ có một doanh nghiệp tham gia.",https://i1-vnexpress.vnecdn.net/2025/05/05/5g-9518-1746419842.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=kUHlVZsZ8NtQtFwPcDi52A,,https://vnexpress.net/dau-gia-lai-tan-so-kim-cuong-700-mhz-cho-5g-4881716.html
Loạt sản phẩm AI thế hệ mới tại ngày hội HP Việt Nam 2025,"HP trình làng ba laptop tích hợp AI, trợ lý ảo HP Companion giúp nâng cao hiệu suất làm việc, cá nhân hóa trải nghiệm, góp phần thay đổi cách làm việc của người dùng.",https://i1-vnexpress.vnecdn.net/2025/05/05/trai-nghiem-poly-camera-pro-ta-3916-2931-1746419767.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=EHM4Y6sCZtObAiVbkk2CgA,,https://vnexpress.net/loat-san-pham-ai-the-he-moi-tai-ngay-hoi-hp-viet-nam-2025-4880246.html
Công nghệ camera Samsung hỗ trợ phục hồi hơn 1 ha san hô,"Tính năng Ocean Mode trên Galaxy S24 Ultra giúp ghi lại hình ảnh rạn san hô dưới đại dương, phục vụ nghiên cứu và trồng 11.046 mảnh san hô, tương đương phục hồi hơn 1 ha trong một năm.",https://i1-vnexpress.vnecdn.net/2025/05/05/sss-1746410798-1746410855-4329-1746410977.png?w=300&h=180&q=100&dpr=1&fit=crop&s=cCxHRqmJQ8CPbQBItbPMRg,,https://vnexpress.net/cong-nghe-camera-samsung-ho-tro-phuc-hoi-hon-1-ha-san-ho-4881186.html
Kế hoạch nuôi cá vược trên Mặt Trăng,PhápDự án Lunar Hatch sẽ phóng trứng cá vược đã thụ tinh vào không gian với mục tiêu cung cấp protein bền vững cho phi hành gia trong tương lai.,https://i1-vnexpress.vnecdn.net/2025/05/04/VNEFish-1746355785-2586-1746355842.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=JTf3ZjQzeJnGWk8803sjog,,https://vnexpress.net/ke-hoach-nuoi-ca-vuoc-tren-mat-trang-4881484.html
Xe máy bay tốc độ 200 km/h,Ba LanCông ty Volonaut giới thiệu mẫu xe máy bay cá nhân siêu nhẹ có thể di chuyển qua không gian nhỏ hẹp và đạt tốc độ tối đa 200 km/h.,https://i1-vnexpress.vnecdn.net/2025/05/04/VNEAirbike-1746348162-5343-1746348445.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=oKCEEoRSjw0g8At0zBNAUA,,https://vnexpress.net/xe-may-bay-toc-do-200-km-h-4881372.html
Cấu trúc hình kim tự tháp bí ẩn trong rừng Amazon,PeruCerro El Cono là một cấu trúc đơn độc hình kim tự tháp trong rừng mưa Amazon có nguồn gốc bí ẩn và ý nghĩa quan trọng với người bản xứ.,https://i1-vnexpress.vnecdn.net/2025/05/04/VNEPeak-1746326926-3773-1746326979.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=la8kbVHvmITyJ4qNQbRf3w,,https://vnexpress.net/cau-truc-hinh-kim-tu-thap-bi-an-trong-rung-amazon-4881333.html
TikTok bị phạt 530 triệu euro vì chuyển dữ liệu người dùng sang Trung Quốc,"Ủy ban Bảo vệ Dữ liệu Ireland (DPC) phạt TikTok vì cho rằng nền tảng chuyển dữ liệu của người dùng châu Âu sang Trung Quốc, vi phạm Quy định bảo vệ dữ liệu chung (GDPR) của EU.",https://i1-vnexpress.vnecdn.net/2025/05/04/ap24088453489593-1746292465-17-4389-7013-1746293955.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=m56YVlaZPcxYlyiF4uH3YQ,,https://vnexpress.net/tiktok-bi-phat-530-trieu-euro-vi-chuyen-du-lieu-nguoi-dung-sang-trung-quoc-4881300.html
Chàng trai Việt ở trung tâm khởi nghiệp đại học top 3 thế giới,"Phần LanBỏ ngang đại học trong nước để du học, Tài không ngờ có ngày làm việc ở Trung tâm Khởi nghiệp Aalto, nơi ươm mầm hàng trăm startup trị giá hơn 600 triệu euro.",https://i1-vnexpress.vnecdn.net/2025/05/03/tran-chi-tai-1746247101-174624-2754-8933-1746247507.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=G7a6tIOyiRhBR6aIYwwYgA,,https://vnexpress.net/chang-trai-viet-o-trung-tam-khoi-nghiep-dai-hoc-top-3-the-gioi-4881198.html
Lý giải hiện tượng cơ thể người tự bốc cháy,"Hiện tượng cơ thể người tự bốc cháy có thể liên quan đến hiệu ứng sợi bấc, khi đó lượng mỡ trong cơ thể đóng vai trò như sáp nến.",https://i1-vnexpress.vnecdn.net/2025/05/03/a-nh-ma-n-hi-nh-2025-05-03-lu-9010-2219-1746279892.png?w=300&h=180&q=100&dpr=1&fit=crop&s=Z3Fr0Xl3qGFig6CBOmUlpw,,https://vnexpress.net/ly-giai-hien-tuong-co-the-nguoi-tu-boc-chay-4881288.html
Gene đặc biệt giúp hải nữ Jeju lặn sâu 10 m,"Hàn QuốcHải nữ (haenyeo), nhóm phụ nữ trên đảo Jeju kiếm sống bằng nghề lặn biển, có thể lặn sâu trong nước lạnh mà không cần thiết bị hỗ trợ nhờ có gene khác biệt.",https://i1-vnexpress.vnecdn.net/2025/05/03/h38dnvaxmujfryddxts5hq-1746270-8565-2060-1746271369.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=T4VXUvO6_CjgT1qP76b7wA,,https://vnexpress.net/gene-dac-biet-giup-hai-nu-jeju-lan-sau-10-m-4881260.html
Người đàn ông tự tiêm nọc rắn độc để tìm thuốc giải,"18 năm, Tim Friede, cựu thợ máy người Mỹ, tự tiêm nọc hàng trăm lần với liều lượng tăng dần từ 16 loài rắn kịch độc và máu của ông được dùng để tạo ra thuốc kháng nọc rắn tốt nhất.",https://i1-vnexpress.vnecdn.net/2025/05/03/2921-1746255200-1746255224-9323-1746256690.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=gu6LsziE6mwgTu4MP2J6Mw,,https://vnexpress.net/nguoi-dan-ong-tu-tiem-noc-ran-doc-de-tim-thuoc-giai-4881129.html
Hyundai đưa robot hình người vào nhà máy tại Mỹ,Robot hình người Atlas dự kiến giúp tự động hóa tới 40% công việc lắp ráp ôtô tại nhà máy Metaplant America của Hyundai ở bang Georgia trong năm nay.,,,https://vnexpress.net/hyundai-dua-robot-hinh-nguoi-vao-nha-may-tai-my-4881189.html
Tàu điện lớn nhất thế giới với pin 250 tấn hạ thủy,"AustraliaHãng đóng tàu Incat hạ thủy tàu hai thân Hull 096 tại thành phố Hobart, bang Tasmania, hôm 2/5, đánh dấu bước tiến lớn trong vận tải bền vững.",,,https://vnexpress.net/tau-dien-lon-nhat-the-gioi-voi-pin-250-tan-ha-thuy-4881157.html
'Cơn sốt' trung tâm dữ liệu AI đang chững lại?,"Hai năm qua, các gã khổng lồ công nghệ Mỹ chạy đua xây trung tâm dữ liệu, ""xương sống"" của AI, nhưng những dấu hiệu chững lại đang xuất hiện.",,,https://vnexpress.net/con-sot-trung-tam-du-lieu-ai-dang-chung-lai-4880425.html
5 điểm nhấn của iPhone 17 Air,"iPhone 17 Air, dòng điện thoại mới của Apple, dự kiến mỏng dưới 6mm, sử dụng esim, màn hình Pro Motion.",,,https://vnexpress.net/5-diem-nhan-cua-iphone-17-air-4879860.html
Nhiều nhà mạng bổ sung trạm phát sóng đáp ứng dịp lễ 30/4,"Để đáp ứng nhu cầu kết nối tăng vọt tại một số địa phương, Viettel triển khai hơn 2.000 giải pháp kỹ thuật trên cả nước, còn MobiFone cũng bổ sung nhiều trạm phát sóng 5G.",https://i1-vnexpress.vnecdn.net/2025/05/02/dieubinh-18-8829-1746197598.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=Np5mgZefK3oGtif2nRkB-A,,https://vnexpress.net/nhieu-nha-mang-bo-sung-tram-phat-song-dap-ung-dip-le-30-4-4881079.html
Thay đổi lớn của App Store tại Mỹ,Apple được đánh giá đã thực hiện thay đổi lớn khi cho phép nhà phát triển đặt liên kết thanh toán bên ngoài trên App Store tại Mỹ.,https://i1-vnexpress.vnecdn.net/2025/05/02/a1-1746199051-9169-1746199058.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=edxnSOuNTcvimM2_7u6_-A,,https://vnexpress.net/thay-doi-lon-cua-app-store-tai-my-4881099.html
Figure AI - công ty robot hình người Mỹ bị nghi 'thổi phồng',"Figure AI, công ty robot hình người tại Thung lũng Silicon, thu hút sự chú ý với tham vọng lớn, nhưng bị nghi ""thổi phồng"" số liệu để hút đầu tư.",https://i1-vnexpress.vnecdn.net/2025/04/30/figure-thumb-1-1745985830-1745-2911-7952-1745986459.png?w=300&h=180&q=100&dpr=1&fit=crop&s=T3EK6scHstooMcvTaI3mPA,,https://vnexpress.net/figure-ai-cong-ty-robot-hinh-nguoi-my-bi-nghi-thoi-phong-4880383.html
"Apple: Thiết bị bán tại Mỹ chủ yếu từ Việt Nam, Ấn Độ","Apple cho biết iPhone, iPad và các thiết bị khác của hãng tại Mỹ trong quý tài chính hiện tại sẽ chủ yếu sản xuất tại Ấn Độ và Việt Nam.",https://i1-sohoa.vnecdn.net/2025/05/02/a1-1746159299-4983-1746159358.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=ueZTkdHBfYn8FSGM_Eewqw,,https://vnexpress.net/apple-thiet-bi-ban-tai-my-chu-yeu-tu-viet-nam-an-do-4880897.html
Giá đồng thuận và giấc mơ 'bất khả thi' của người chơi tiền ảo Pi,"Nhiều người chơi Pi Network kỳ vọng Pi có giá trị đồng thuận toàn cầu (GCV) 314.159 USD/đồng, nhưng được đánh giá ""ảo tưởng"".",https://i1-vnexpress.vnecdn.net/2025/04/29/gcv-1745914651-1745914703-4122-1745914764.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=VgkDbAYksen0yJosaCFMdg,,https://vnexpress.net/gia-dong-thuan-va-giac-mo-bat-kha-thi-cua-nguoi-choi-tien-ao-pi-4879754.html
Apple giới thiệu bộ sưu tập ứng dụng 'Made in Vietnam',"Các ứng dụng, trò chơi do nhà phát triển Việt Nam ở ba miền Bắc, Trung, Nam được Apple chọn và giới thiệu trong bộ sưu tập riêng trên App Store.",https://i1-vnexpress.vnecdn.net/2025/05/02/a1-1746172716-1869-1746173186.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=9WUAg0lDAdOEeXCXdVNtew,,https://vnexpress.net/apple-gioi-thieu-bo-suu-tap-ung-dung-made-in-vietnam-4880947.html
Apple tăng trưởng mạnh nhất quý I/2025,"Apple là hãng duy nhất đạt mức tăng trưởng hai con số, chiếm 19% thị phần smartphone toàn cầu trong quý I/2025.",https://i1-vnexpress.vnecdn.net/2025/05/01/2018-12-16t120000z-2081399308-2276-8608-1746113237.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=hYBxOCukiwljpDeJGE4SAA,,https://vnexpress.net/apple-tang-truong-manh-nhat-quy-i-2025-4880788.html
Ứng dụng Be thêm dịch vụ tìm người giúp việc tại Hà Nội,Người dùng tại Hà Nội có thể thuê giúp việc theo giờ trên ứng dụng gọi xe Be từ tháng 5.,https://i1-vnexpress.vnecdn.net/2025/05/01/cho-n-TII-5547-2-4379-1746114279.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=Yl7voVqu54DexhWkWuimaw,,https://vnexpress.net/ung-dung-be-them-dich-vu-tim-nguoi-giup-viec-tai-ha-noi-4880789.html
Mark Zuckerberg tự nhận là 'người vụng về',CEO Meta Mark Zuckerberg cho biết ông là người vụng về và ảnh hưởng tới sự tự tin của ông thời gian dài.,https://i1-vnexpress.vnecdn.net/2025/05/01/screenshot-2025-05-01-at-16-13-5798-6081-1746091117.png?w=300&h=180&q=100&dpr=1&fit=crop&s=A-nXdWpLt5oNBl_mw_dfrQ,,https://vnexpress.net/mark-zuckerberg-tu-nhan-la-nguoi-vung-ve-4880710.html
CEO Microsoft: AI đảm nhiệm 30% việc viết mã lập trình,Microsoft cho biết AI đang đảm nhiệm khoảng 30% việc viết code cho phần mềm tại công ty.,https://i1-vnexpress.vnecdn.net/2025/05/01/ap25120009181458-1746070419-1216-1746070789.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=9oPIFsWOfP5DgizKbIC7WA,,https://vnexpress.net/ceo-microsoft-ai-dam-nhiem-30-viec-viet-ma-lap-trinh-4880620.html
'Đà Nẵng là nơi lý tưởng tổ chức sự kiện về blockchain và AI',"Đà Nẵng hội tụ đội kỹ sư chất lượng, tầm nhìn chính sách rõ ràng và môi trường mở cho đổi mới sáng tạo, phù hợp những sự kiện như Super Vietnam 2025, theo Giám đốc DSAC.",https://i1-sohoa.vnecdn.net/2025/05/02/at-03016-jpg-1746180516-174618-6521-9631-1746181111.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=L3ZBzU5wSUjHtQP5yHO0_g,,https://vnexpress.net/da-nang-la-noi-ly-tuong-to-chuc-su-kien-ve-blockchain-va-ai-4881030.html
Cánh tay robot - điều kiện để iPhone sản xuất tại Mỹ,"CEO Apple Tim Cook được cho là muốn triển khai hệ thống cánh tay robot quy mô lớn, ""chất xúc tác quan trọng"" để sản xuất iPhone tại Mỹ.",https://i1-vnexpress.vnecdn.net/2025/05/01/dscf7575-1746073674-1746073686-8757-1746073872.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=_EQdCR91irPxs4U1nxGL1g,,https://vnexpress.net/canh-tay-robot-dieu-kien-de-iphone-san-xuat-tai-my-4880636.html
30 nhà khoa học nghiên cứu ô nhiễm biển Việt Nam bằng tàu Viện sĩ Oparin,"Khánh HòaTàu nghiên cứu khoa học Viện sĩ Oparin chuẩn bị đưa 30 nhà khoa học của Nga và Việt Nam khảo sát đa dạng sinh học, nghiên cứu ô nhiễm tại biển Đông.",https://i1-vnexpress.vnecdn.net/2025/05/01/oparin-5-1746095781-1746095814-1829-1746096039.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=fAGXghn1aI5IVOD20vIWkQ,,https://vnexpress.net/30-nha-khoa-hoc-nghien-cuu-o-nhiem-bien-viet-nam-bang-tau-vien-si-oparin-4880742.html
Thẩm phán Mỹ: Apple phớt lờ lệnh tòa án,Tòa án quận ở Oakland cho biết đã chuyển hồ sơ tới công tố viên liên bang để điều tra vì Apple phớt lờ lệnh cấm liên quan đến App Store trước đó.,https://i1-vnexpress.vnecdn.net/2025/05/01/smartphone-market-china-04713-4246-2985-1746064757.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=goq1i3mMZElOIBuNT5Gljw,,https://vnexpress.net/tham-phan-my-apple-phot-lo-lenh-toa-an-4880602.html
AI Grok của Musk sẽ trả lời bằng nguồn 'ngoài Internet',Elon Musk cho biết mô hình Grok 3.5 của xAI sẽ cung cấp những câu trả lời không phải từ nguồn dữ liệu đang có trên Internet.,https://i1-vnexpress.vnecdn.net/2025/05/01/lq-07721-1746062076-8178-1746062186.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=TkVVGzuCPAQ1uLK11dpwjA,,https://vnexpress.net/ai-grok-cua-musk-se-tra-loi-bang-nguon-ngoai-internet-4880595.html
OpenAI xác nhận ChatGPT quá 'nịnh hót',"OpenAI cho biết ChatGPT đưa ra những phản hồi ""nịnh hót"" sau bản cập nhật mới, khiến công ty phải khôi phục ""tính cách"" cũ cho chatbot.",https://i1-vnexpress.vnecdn.net/2025/04/30/33zd88h-highres-1699931805-450-1995-5802-1746027257.png?w=300&h=180&q=100&dpr=1&fit=crop&s=ezQo63uDFLoUJPcOJetzHg,,https://vnexpress.net/openai-xac-nhan-chatgpt-qua-ninh-hot-4880548.html
'Đốt thuyền' - chiến lược tránh tụt hậu của công ty AI,"Việc ""đốt cháy con thuyền"", tức sẵn sàng loại bỏ những nền tảng cũ để thích nghi với cái mới, đang được nhiều công ty xem xét khi AI biến đổi từng ngày.",https://i1-vnexpress.vnecdn.net/2025/04/28/computex-2024-vnexpress-6-1745-9457-9118-1745829323.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=xHlxWcxM59t2oj_-ZgB4bA,,https://vnexpress.net/dot-thuyen-chien-luoc-tranh-tut-hau-cua-cong-ty-ai-4879561.html
Lý do khiến tàu thủy bánh lăn 'chết yểu',Tàu thủy bánh lăn là một ý tưởng thú vị trong lịch sử thiết kế hải quân nhưng không thể trở thành hiện thực do tốc độ thấp và khó điều khiển.,https://i1-vnexpress.vnecdn.net/2025/04/28/VNEShip1-1745840177-4341-1745840353.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=1n8ibKot2b-GDJuzR2qNuQ,,https://vnexpress.net/ly-do-khien-tau-thuy-banh-lan-chet-yeu-4879402.html
Starlink miễn phí thiết bị Internet vệ tinh ở một số khu vực,"Người dùng ở một số thị trường được mua thiết bị kết nối Internet vệ tinh với giá 0 đồng, theo thông tin Starlink công bố trên X.",https://i1-vnexpress.vnecdn.net/2025/04/30/DSC09672-6402-1746007044.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=dd8eOs97-DDQKCL86qwKEQ,,https://vnexpress.net/starlink-mien-phi-thiet-bi-internet-ve-tinh-o-mot-so-khu-vuc-4880488.html
Thời của gian lận deepfake thời gian thực,"Kẻ lừa đảo dùng deepfake thay đổi nét mặt, giọng nói để tạo cảm giác nhiều người đang tham gia cuộc gọi video trực tiếp, khiến nạn nhân khó nhận biết.",https://i1-vnexpress.vnecdn.net/2025/04/29/faceplayvnexpress-1628826312-4-5930-5389-1745922425.png?w=300&h=180&q=100&dpr=1&fit=crop&s=5rKU723KyuKnfL3nPXmXzw,,https://vnexpress.net/thoi-cua-gian-lan-deepfake-thoi-gian-thuc-4880143.html
